Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
3420,5776,25907,4362,http://data.gesis.org/claimskg/creative_work/5ebf30b9-b5f8-58ca-b596-d6c6a31807d7,Deaths in care homes are up 81% since the start of the Covid-19 vaccination rollout.,fullfact,English,OTHER,-1,,,0.0,15,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
24071,29327,45097,6270,http://data.gesis.org/claimskg/creative_work/2fba23e9-7981-5e8d-ba4c-84b35f069d6c,"In the United Kingdom, 81% of COVID-19 deaths are among the vaccinated.",politifact,English,False,1,"COVID-19, United Kingdom","['COVID-19', ' United Kingdom']",2.0,12,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
11025,15374,27733,6188,http://data.gesis.org/claimskg/creative_work/ed404711-8a2a-5077-80a9-fefc7a374e5a,Over 70% of Covid-19 deaths are now in vaccinated people in the UK.,fullfact,English,TRUE,3,vaccinated people,['vaccinated people'],1.0,13,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
54796,61205,40296,1469,http://data.gesis.org/claimskg/creative_work/3e1784eb-136a-5eb2-adaf-4679ec906e5d,"In the United Kingdom, 70-plus percent of the people who die now from COVID are fully vaccinated.",politifact,English,False,1,"COVID, United Kingdom, fully vaccinated","['COVID', ' United Kingdom', ' fully vaccinated']",3.0,17,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
28089,33370,45323,6496,http://data.gesis.org/claimskg/creative_work/f1cdda1a-023b-51ac-8cd6-65918b39871e,"In England, COVID-19 vaccinated children are 4,423% more likely to die of any cause and 13,633% more likely to die of COVID-19 than unvaccinated children.",politifact,English,False,1,"COVID-19, England","['COVID-19', ' England']",2.0,25,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
9698,14038,24878,3333,http://data.gesis.org/claimskg/creative_work/131b3cf5-899e-5bab-ac87-97261fa720d6,PHE released a report revealing 62% of Covid-19 deaths are people who have been vaccinated.,fullfact,English,OTHER,-1,released a report,['released a report'],1.0,15,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
28335,33618,45743,6916,http://data.gesis.org/claimskg/creative_work/01a02d2b-a06f-50e0-b968-66ec95fd2325,"In England, official data shows children are up to 52 times more likely to die following COVID-19 vaccination than unvaccinated children.",politifact,English,False,1,"COVID-19 vaccination, England","['COVID-19 vaccination', ' England']",2.0,21,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
3027,5379,25001,3456,http://data.gesis.org/claimskg/creative_work/f5aaee3a-0631-54f4-bb33-bc70f78452a5,"Throughout Europe, the USA, the UK and Australia, medicine regulators have received reports of 77,068 deaths due to Covid-19 vaccination.",fullfact,English,FALSE,1,,,0.0,20,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
25845,31106,11872,524,http://data.gesis.org/claimskg/creative_work/5eb3cec0-b0c8-52a6-b4ce-f0ab11e56b2f,Most Covid-19 deaths in England are in the vaccinated,factcheck_afp,English,FALSE,1,"Covid-19, England","['Covid-19', ' England']",2.0,9,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
27052,32322,46401,7574,http://data.gesis.org/claimskg/creative_work/400b6ea7-2fe1-514c-9fce-fc5cc70c1d0a,"When I came into office, our vaccination rate in Texas was 65 percent. When I left two weeks ago, it was 95 percent.",politifact,English,False,1,"Texas, vaccination rate","['Texas', ' vaccination rate']",2.0,23,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
